session_id,date,available_capacity,min_age_limit,allow_all_age,vaccine,available_capacity_dose1,available_capacity_dose2,max_age_limit,address,block,center_id,district
837fea45-abe6-4a61-b0cf-4b69b6cf6c6b,09-09-2021,132,18,True,COVAXIN,70,62,,Hope Oncology Clinic A-22 Hauz Khas Near Hauz Khas Market South Delhi New Delhi,Not Applicable,615529,South Delhi
da77c410-8e65-4dc7-8db4-1e5aa62c2b0c,04-09-2021,0,18,True,COVISHIELD,0,0,,GBSSS NO2 MEHRAULI,Not Applicable,770351,South Delhi
642b7d41-7d3b-433e-9dfb-6c4caf6625e9,04-09-2021,0,18,True,COVISHIELD,0,0,,GARGI SCHOOL SAFDARJUNG ENCLAVE 110016,Not Applicable,694984,South Delhi
e4e9b469-ddef-4d37-8195-714fdc69dfc1,04-09-2021,0,18,True,COVISHIELD,0,0,,SARVODAYA COED VIDHALYA MASJID MOTH,Not Applicable,738586,South Delhi
4559d332-a454-4d7c-85c0-50f3fe62ed9f,04-09-2021,0,18,True,COVISHIELD,0,0,,SDMC Model Boys School Hauz Rani New Delhi,Not Applicable,784819,South Delhi
7676ff1d-9604-40fe-bf01-35d479c21d7e,04-09-2021,279,18,True,COVISHIELD,119,160,,N 110 Block N Panchsheel Park,Not Applicable,685375,South Delhi
3176300f-ab03-4feb-81ea-0903c1383ac4,05-09-2021,407,18,True,COVISHIELD,138,269,,N 110 Block N Panchsheel Park,Not Applicable,685375,South Delhi
45edc410-0554-4139-a2b3-127dec222314,06-09-2021,496,18,True,COVISHIELD,149,347,,N 110 Block N Panchsheel Park,Not Applicable,685375,South Delhi
57daad74-f121-445b-adc1-a2d197fc1a06,07-09-2021,498,18,True,COVISHIELD,150,348,,N 110 Block N Panchsheel Park,Not Applicable,685375,South Delhi
6a22203f-e1ab-4eee-b23d-8dce25aef203,08-09-2021,498,18,True,COVISHIELD,150,348,,N 110 Block N Panchsheel Park,Not Applicable,685375,South Delhi
1210ab71-a8df-4e1f-baaa-ec9389fcf496,09-09-2021,500,18,True,COVISHIELD,150,350,,N 110 Block N Panchsheel Park,Not Applicable,685375,South Delhi
0c401356-4161-43db-a5e7-73a891b19c1a,04-09-2021,0,18,True,COVISHIELD,0,0,,Rajkiya Varishtha M. Bal Vidyalaya Aya Nagar 110047,Not Applicable,694032,South Delhi
f998e864-beb2-4283-8571-39ff7d295c21,04-09-2021,0,18,True,COVISHIELD,0,0,,Mcw Dakshinpuri Block 5  Opposite SBI Dakshinpuri New Delhi -62,Not Applicable,8097,South Delhi
7b046bc3-4c28-44c6-8cf6-06a30079dfd8,04-09-2021,25,18,True,COVISHIELD,0,25,,DAKSHINPURI SEC V,Not Applicable,724432,South Delhi
c739d45c-d446-4aa4-9042-fe4f3047c994,04-09-2021,0,18,True,COVAXIN,0,0,,Sarvodaya Kanya Vidyalaya Chirag Delhi Swami Nagar,Not Applicable,694023,South Delhi
127e9347-5e99-48fc-9f91-616ce0efb512,04-09-2021,0,18,True,COVISHIELD,0,0,,SHEIKH SARAI,Not Applicable,779827,South Delhi
4f19e5c4-ff38-4785-9f18-0903dcf26357,04-09-2021,0,18,True,COVISHIELD,0,0,,PAMPOSH ENCLAVE GREATER KAILASH -1,Not Applicable,738595,South Delhi
a6b720b4-04e6-4bda-9a5c-a45f6df2a802,04-09-2021,0,18,True,COVISHIELD,0,0,,SDMC Model Boys School Hauz Rani New Delhi,Not Applicable,784823,South Delhi
917aa484-8544-4afd-8644-c3323d6b62c4,04-09-2021,0,18,True,COVISHIELD,0,0,,Dr.Ambedkar Nagar Sector 5 Dakshinpuri New Delhi Delhi 110062,Not Applicable,702275,South Delhi
c3507d51-f1b5-4fec-8e25-7b89faae42c7,04-09-2021,334,18,True,COVISHIELD,186,148,,Balharas Le Cure Hospital IGNOU Main Rd Freedom Fighter Colony Block B Neb Sarai Sainik FarmNew Delhi,Not Applicable,837097,South Delhi
85873f36-43aa-4a1b-90fe-fb25833bebe7,05-09-2021,367,18,True,COVISHIELD,190,177,,Balharas Le Cure Hospital IGNOU Main Rd Freedom Fighter Colony Block B Neb Sarai Sainik FarmNew Delhi,Not Applicable,837097,South Delhi
519d0655-4686-4a8b-a17e-e42934553b06,06-09-2021,385,18,True,COVISHIELD,195,190,,Balharas Le Cure Hospital IGNOU Main Rd Freedom Fighter Colony Block B Neb Sarai Sainik FarmNew Delhi,Not Applicable,837097,South Delhi
65b61223-3dcc-4673-a2f5-eed22c340967,07-09-2021,388,18,True,COVISHIELD,195,193,,Balharas Le Cure Hospital IGNOU Main Rd Freedom Fighter Colony Block B Neb Sarai Sainik FarmNew Delhi,Not Applicable,837097,South Delhi
f8df290f-de9e-4aae-885d-9889381e93b8,08-09-2021,396,18,True,COVISHIELD,200,196,,Balharas Le Cure Hospital IGNOU Main Rd Freedom Fighter Colony Block B Neb Sarai Sainik FarmNew Delhi,Not Applicable,837097,South Delhi
284d131f-8d24-42b5-a6ad-6120349d2ad8,09-09-2021,387,18,True,COVISHIELD,198,189,,Balharas Le Cure Hospital IGNOU Main Rd Freedom Fighter Colony Block B Neb Sarai Sainik FarmNew Delhi,Not Applicable,837097,South Delhi
c16e8cee-30f0-4e29-b64f-2fa645af0e4f,04-09-2021,0,18,True,COVISHIELD,0,0,,BACHAN PRASAD SCHOOL DEOLI TIGRI 110080,Not Applicable,694954,South Delhi
9a2ea40d-9c23-435a-8646-7d70806b445f,04-09-2021,145,18,True,COVISHIELD,85,60,,Press Enclave Marg Phase-2Sheikh Sarai,Not Applicable,560710,South Delhi
efd7ec62-7370-4cf5-bc40-158e358ff959,05-09-2021,170,18,True,COVISHIELD,89,81,,Press Enclave Marg Phase-2Sheikh Sarai,Not Applicable,560710,South Delhi
ceccb622-ff3b-4c17-9775-e4307867f87f,06-09-2021,172,18,True,COVISHIELD,95,77,,Press Enclave Marg Phase-2Sheikh Sarai,Not Applicable,560710,South Delhi
99c241c6-c214-4ff0-a7af-797246255677,07-09-2021,181,18,True,COVISHIELD,92,89,,Press Enclave Marg Phase-2Sheikh Sarai,Not Applicable,560710,South Delhi
50bb4fe9-c7fb-4e25-a4c4-a3139693b566,08-09-2021,191,18,True,COVISHIELD,98,93,,Press Enclave Marg Phase-2Sheikh Sarai,Not Applicable,560710,South Delhi
508c6c20-9327-4ee6-ab78-69f83d09fb25,09-09-2021,195,18,True,COVISHIELD,99,96,,Press Enclave Marg Phase-2Sheikh Sarai,Not Applicable,560710,South Delhi
5467ed9d-87a7-4729-9d9c-53b4ae8dfb27,04-09-2021,19,18,True,COVISHIELD,0,19,,DAKSHINPURI SEC V,Not Applicable,709282,South Delhi
609c408b-fb83-4e39-9274-78aa86f475f7,04-09-2021,0,18,True,COVISHIELD,0,0,,Govt Girls Sr. Sec. School Chhattarpur 110074,Not Applicable,693928,South Delhi
40f0ff0a-a181-4c4b-8b78-69388964a599,04-09-2021,0,18,True,COVISHIELD,0,0,,SARVODAYA COED VIDHALYA MASJID MOTH,Not Applicable,738585,South Delhi
5ed7dba8-06e4-4e41-b08a-b0974314d192,04-09-2021,57,18,True,COVISHIELD,32,25,,Siri Fort Road New Delhi,Not Applicable,614550,South Delhi
8447e698-cbd1-4604-89f5-1368f2091fef,04-09-2021,0,18,True,COVISHIELD,0,0,,GARGI SCHOOL SAFDARJUNG ENCLAVE 110016,Not Applicable,738569,South Delhi
52752233-fa7e-4891-b9b9-29195c61bc76,04-09-2021,55,45,False,COVISHIELD,39,16,,Mandir MargPress Enclave Road Saket New Delhi 110017,Not Applicable,590180,South Delhi
abe30889-5220-4025-81cb-d3493dd5ee09,05-09-2021,78,45,False,COVISHIELD,43,35,,Mandir MargPress Enclave Road Saket New Delhi 110017,Not Applicable,590180,South Delhi
f8765d3f-3bf4-4df8-bc3d-d23130a14b19,04-09-2021,0,18,True,COVISHIELD,0,0,,Malviya Nagar New Delhi Delhi 110017,Not Applicable,701558,South Delhi
0f79e159-b811-437f-ad6a-d8a6652590b2,04-09-2021,23,18,False,COVISHIELD,23,0,44.0,Mandir MargPress Enclave Road Saket New Delhi 110017,Not Applicable,614795,South Delhi
9774103b-18e7-4d6b-83dc-b385dc5dc38e,05-09-2021,77,18,False,COVISHIELD,48,29,44.0,Mandir MargPress Enclave Road Saket New Delhi 110017,Not Applicable,614795,South Delhi
d1957271-e660-43aa-b445-601967836ff3,04-09-2021,0,18,True,COVISHIELD,0,0,,SDMC SCHOOL MAIDAN GARHI,Not Applicable,697814,South Delhi
4ab1e794-afe4-4fda-8f17-61c60a2ccf31,04-09-2021,0,18,True,COVISHIELD,0,0,,D1 Ilbs Vasant Kunj Marg Delhi,Not Applicable,560772,South Delhi
20bea2f9-14d3-4e9e-8beb-9206bf23b08e,04-09-2021,0,18,True,COVISHIELD,0,0,,Dr.Ambedkar Nagar Sector 5 Dakshinpuri New Delhi Delhi 110062,Not Applicable,701575,South Delhi
3ef3e9b7-865b-4c21-bdba-ba982ea836e9,04-09-2021,0,18,True,COVISHIELD,0,0,,SDMC SCHOOL MAIDAN GARHI,Not Applicable,697817,South Delhi
1421eb92-1d42-4707-b02b-8106688a9afc,04-09-2021,0,18,True,COVISHIELD,0,0,,SARVODAYA COED VIDHALYA MASJID MOTH,Not Applicable,709216,South Delhi
3ae7a823-1385-4429-b21c-640be00bd938,04-09-2021,0,18,True,COVISHIELD,0,0,,BACHAN PRASAD SCHOOL DEOLI TIGRI 110080,Not Applicable,694968,South Delhi
338533fa-5552-46c9-a3f0-509e813529c1,04-09-2021,0,18,True,COVISHIELD,0,0,,PAMPOSH ENCLAVE GREATER KAILASH -1,Not Applicable,738597,South Delhi
bde50967-652e-497d-bcbe-74b96cdb6193,04-09-2021,0,18,True,COVISHIELD,0,0,,D1 Ilbs Vasant Kunj Marg Delhi,Not Applicable,576213,South Delhi
0d545fdc-4e38-44cc-90b0-c21f19b0d32b,04-09-2021,0,18,True,COVISHIELD,0,0,,SDMC SCHOOL MAIDAN GARHI,Not Applicable,697818,South Delhi
586c4168-a991-4fb7-87d6-0577b7b6c20e,04-09-2021,37,18,False,COVISHIELD,36,1,44.0,Mandir MargPress Enclave Road Saket New Delhi 110017,Not Applicable,614786,South Delhi
78f8bb0d-5d8d-42b8-b6c7-c062c449524c,05-09-2021,61,18,False,COVISHIELD,41,20,44.0,Mandir MargPress Enclave Road Saket New Delhi 110017,Not Applicable,614786,South Delhi
f560972f-5d8d-467c-85c5-ce9fda334345,04-09-2021,0,18,False,COVAXIN,0,0,44.0,Mandir MargPress Enclave Road Saket New Delhi 110017,Not Applicable,590176,South Delhi
c42792ae-8852-4a5e-9906-7e9c71fe979a,04-09-2021,296,18,True,COVISHIELD,179,117,,Mahinder Kumar Jain Marg Gautam Nagar New Delhi Delhi 110049,Not Applicable,590504,South Delhi
8ec0000c-aaea-49f7-bfbf-007d5db94cf1,04-09-2021,1,18,True,COVISHIELD,0,1,,SHEIKH SARAI,Not Applicable,779816,South Delhi
1b081a50-302e-4dda-81dc-a427a068f41a,04-09-2021,0,18,True,COVAXIN,0,0,,33-B-7-9Kishangarh Vasant Kunj New Delhi,Not Applicable,628131,South Delhi
367df7f5-a868-4698-99cf-c600d50e0f58,04-09-2021,47,18,False,COVISHIELD,47,0,44.0,Mandir MargPress Enclave Road Saket New Delhi 110017,Not Applicable,614799,South Delhi
347c3dc0-af3f-4181-8605-2b3f57d68620,05-09-2021,74,18,False,COVISHIELD,45,29,44.0,Mandir MargPress Enclave Road Saket New Delhi 110017,Not Applicable,614799,South Delhi
0b74b070-75e1-4192-b5f3-e7752c295aac,04-09-2021,0,18,True,COVISHIELD,0,0,,SARVODAYA COED VIDHALYA MASJID MOTH,Not Applicable,714533,South Delhi
66574a73-3cff-491b-a32e-3608a163694a,04-09-2021,579,45,False,COVISHIELD,294,285,,A7 KAILASH COLONY 1ST FLOOR MAIN ROAD NEXT TO METRO STATION NEW DELHI,Not Applicable,733279,South Delhi
01b41461-274d-4a92-9be4-c990e4db88c1,04-09-2021,560,18,False,COVISHIELD,293,267,44.0,A7 KAILASH COLONY 1ST FLOOR MAIN ROAD NEXT TO METRO STATION NEW DELHI,Not Applicable,733279,South Delhi
1ffde7eb-a3e7-44ce-b3ac-d24a14635119,06-09-2021,593,45,False,COVISHIELD,298,295,,A7 KAILASH COLONY 1ST FLOOR MAIN ROAD NEXT TO METRO STATION NEW DELHI,Not Applicable,733279,South Delhi
34bffa99-9339-4828-a5b2-3afb6d338f9c,06-09-2021,583,18,False,COVISHIELD,296,287,44.0,A7 KAILASH COLONY 1ST FLOOR MAIN ROAD NEXT TO METRO STATION NEW DELHI,Not Applicable,733279,South Delhi
e1285863-12e7-4c68-9cd5-9e9991c92d4a,07-09-2021,587,18,False,COVISHIELD,299,288,44.0,A7 KAILASH COLONY 1ST FLOOR MAIN ROAD NEXT TO METRO STATION NEW DELHI,Not Applicable,733279,South Delhi
625dc297-bc05-47f0-a561-c418bfdb34f4,07-09-2021,597,45,False,COVISHIELD,300,297,,A7 KAILASH COLONY 1ST FLOOR MAIN ROAD NEXT TO METRO STATION NEW DELHI,Not Applicable,733279,South Delhi
